"brand","Média de Rank"
"CLARISONIC","5"
"NURSE JAMIE","5"
"BIOEFFECT","4.9"
"GO-TO","4.85"
"PRIVATE DOCTOR","4.8"
"NUFACE","4.7"
"BLACK UP","4.7"
"SAND & SKY","4.7"
"MOON JUICE","4.7"
"ERNO LASZLO","4.628571428571428"
"JACK BLACK","4.6"
"SON & PARK","4.6"
"TOM FORD","4.6"
"NEOGEN DERMALOGY","4.566666666666667"
"KOH GEN DO","4.55"
"SATURDAY SKIN","4.5285714285714285"
"LANCER","4.5249999999999995"
"OMOROVICZA","4.5200000000000005"
"EDIBLE BEAUTY","4.5"
"WANDER BEAUTY","4.449999999999999"
"BLITHE","4.433333333333334"
"LANEIGE","4.427777777777777"
"FARMACY","4.423076923076923"
"VOLITION BEAUTY","4.42"
"ERBORIAN","4.385714285714285"
"DIOR","4.385185185185184"
"PEACE OUT","4.366666666666666"
"BELIF","4.366666666666665"
"YOUTH TO THE PEOPLE","4.357142857142857"
"HERBIVORE","4.354545454545455"
"KOPARI","4.35"
"KORRES","4.35"
"BIOSSANCE","4.344444444444445"
"OLEHENRIKSEN","4.340740740740741"
"J.ONE","4.333333333333333"
"KORA ORGANICS","4.333333333333333"
"LAURA MERCIER","4.325000000000001"
"BOBBI BROWN","4.3100000000000005"
"MAKE UP FOR EVER","4.300000000000001"
"MAKEUP ERASER","4.3"
"SUMMER FRIDAYS","4.3"
"COOLA","4.2789473684210515"
"TATCHA","4.268421052631579"
"PERRICONE MD","4.263333333333332"
"INDIE LEE","4.25"
"AMOREPACIFIC","4.238095238095237"
"LANCÔME","4.235294117647058"
"ANTHONY","4.233333333333333"
"DR ROEBUCK’S","4.233333333333333"
"SEPHORA COLLECTION","4.222727272727273"
"CHARLOTTE TILBURY","4.2"
"TOO FACED","4.2"
"SHISEIDO","4.196825396825398"
"CAUDALIE","4.196666666666667"
"REN CLEAN SKINCARE","4.188235294117647"
"MDSOLARSCIENCES","4.183333333333333"
"SUPERGOOP!","4.18"
"ORIGINS","4.172222222222223"
"DR. JART+","4.170731707317074"
"MURAD","4.161702127659573"
"TARTE","4.161111111111111"
"DR. DENNIS GROSS SKINCARE","4.16"
"CLARINS","4.151851851851852"
"FARSÁLI","4.15"
"CANE + AUSTIN","4.15"
"KIEHL'S SINCE 1851","4.145652173913044"
"JOSIE MARAN","4.144444444444444"
"FIRST AID BEAUTY","4.139285714285714"
"SUNDAY RILEY","4.130769230769229"
"CLINIQUE","4.121518987341771"
"BAREMINERALS","4.116666666666666"
"KAT VON D","4.1"
"URBAN DECAY","4.1"
"FRESH","4.095454545454545"
"LA MER","4.086666666666667"
"PETER THOMAS ROTH","4.084782608695651"
"HUM NUTRITION","4.075"
"BECCA","4.066666666666667"
"SKIN INC SUPPLEMENT BAR","4.0600000000000005"
"DERMADOCTOR","4.054545454545454"
"L'OCCITANE","4.050000000000001"
"IT COSMETICS","4.04375"
"SMASHBOX","4.039999999999999"
"GUERLAIN","4.033333333333334"
"ILIA","4.033333333333333"
"NARS","4.025"
"TOO COOL FOR SCHOOL","4.014285714285714"
"DR. BRANDT SKINCARE","4.010526315789473"
"DRUNK ELEPHANT","4.01"
"LIGHTSTIM","4"
"KAPLAN MD","4"
"APIVITA","4"
"ALGENIST","3.992592592592592"
"TATA HARPER","3.991666666666666"
"ESTÉE LAUDER","3.984375"
"GLOW RECIPE","3.9800000000000004"
"BOSCIA","3.9739130434782597"
"PHILOSOPHY","3.9724137931034478"
"SK-II","3.9352941176470573"
"KLORANE","3.9333333333333336"
"KATE SOMERVILLE","3.9285714285714284"
"GLAMGLOW","3.9176470588235293"
"COVER FX","3.9000000000000004"
"NATURALLY SERIOUS","3.9"
"FENTY BEAUTY BY RIHANNA","3.9"
"MILK MAKEUP","3.8666666666666667"
"VITA LIBERATA","3.85"
"SKIN LAUNDRY","3.8"
"BEAUTYBIO","3.66"
"KENZOKI","3.6333333333333333"
"MOROCCANOIL","3.5800000000000005"
"YVES SAINT LAURENT","3.4"
"EVE LOM","3.3625"
"FOREO","3.2375000000000003"
"ST. TROPEZ TANNING ESSENTIALS","2.4"
"DERMAFLASH","0"
