"name","brand","Número de Ingredientes"
"The Littles™","DRUNK ELEPHANT",220
"Whipped Mud Mask Collection","JOSIE MARAN",205
"A Glowing Regimen Trial Set","PHILOSOPHY",177
"Mini Mask Musts","ORIGINS",166
"Active Retinol Renewal Kit","MURAD",146
"Face Mask Magic","SEPHORA COLLECTION",130
"Experiential Masks Set","SEPHORA COLLECTION",126
"The Ultimate Glow Set","GLAMGLOW",123
"Green Tea Real Fresh Foam Cleanser","NEOGEN DERMALOGY",117
"Bye Bye Lines Serum™ Advanced Anti-Aging Wrinkle-Smoothing Miracle Concentrate","IT COSMETICS",113
